step_idx,forward_wall_ms
0,106.1147
1,5.4633
2,4.4939
3,4.6105
4,4.3283
5,5.2481
6,6.8638
7,5.3848
8,5.1544
9,5.6920
10,4.8348
11,5.1807
12,4.9813
13,7.6784
14,4.6278
15,7.1616
16,4.6577
17,8.3047
18,4.9195
19,7.5176
20,4.5882
21,4.8213
22,4.8269
23,5.0718
24,5.1211
25,4.9041
26,5.3771
27,5.1035
28,4.6207
29,10.0715
30,4.5469
31,7.4870
32,4.5435
33,6.4507
34,4.5127
35,6.9434
36,4.5491
37,7.4608
38,4.5234
39,4.6698
40,4.9828
41,4.9718
42,4.8173
43,4.9755
44,5.3533
45,5.0413
46,4.8776
47,7.7357
48,4.6505
49,6.8519
