step_idx,forward_wall_ms
0,8209.2358
1,8317.6189
2,5.3566
3,4.9489
4,4.7398
5,4.4031
6,4.7096
7,4.7611
8,4.5351
9,8.7176
10,4.8541
11,4.7839
12,5.2118
13,7.1189
14,5.0077
15,4.9476
16,5.2743
17,4.8553
18,8.1784
19,4.9308
20,8.0459
21,5.1987
22,8.8736
23,4.9539
24,5.1128
25,4.7715
26,8.5755
27,4.6104
28,6.5021
29,8.8914
30,6.2196
31,4.7483
32,4.9881
33,5.4996
34,5.1637
35,4.8060
36,6.7073
37,4.5727
38,7.2196
39,4.6544
40,9.9862
41,4.6284
42,5.5722
43,4.8620
44,7.1196
45,4.7043
46,7.7179
47,4.7049
48,5.1811
49,7.2161
