timestamp_s,power_W
0.0775,127.08
0.1350,126.99
0.1854,127.22
0.2425,127.22
0.3027,127.22
0.3614,127.22
0.4216,127.26
0.4823,127.26
0.5387,127.35
0.5922,130.38
0.6479,130.38
0.7031,137.84
0.7597,137.84
0.8151,134.13
0.8661,134.13
0.9202,134.18
0.9767,134.18
1.0376,134.28
1.0914,134.34
1.1431,134.34
1.1981,134.07
1.2516,134.07
1.3023,134.24
1.3564,134.24
1.4096,134.28
1.4605,134.28
1.5114,134.11
1.5631,134.11
1.6146,133.95
1.6663,133.95
1.7198,122.60
1.7710,122.60
1.8245,122.52
1.8796,122.52
1.9318,122.52
1.9836,122.52
2.0348,122.40
2.0866,122.25
2.1436,122.25
2.1943,122.25
2.2640,122.25
2.3300,122.25
2.3888,122.16
2.4404,122.16
2.4942,122.01
2.5455,122.01
2.5965,122.02
2.7024,122.05
2.7584,122.05
2.8105,121.95
2.8653,121.95
2.9233,121.86
2.9902,121.89
3.0498,121.89
3.1025,121.95
3.1816,121.95
3.2449,121.88
3.3106,121.81
3.3691,121.81
3.4354,121.85
3.5005,121.88
3.5816,121.88
3.6452,121.81
3.7058,121.74
3.7665,121.74
3.8269,121.78
3.8884,121.84
3.9492,121.84
4.0113,121.80
4.0724,121.80
4.1327,121.68
4.1947,121.73
4.2552,121.73
4.3155,121.80
4.3782,121.80
4.4408,121.76
4.5022,121.69
4.5627,121.69
4.6273,121.73
4.6878,121.79
4.7484,121.79
4.8086,121.75
4.8688,121.75
4.9291,121.65
4.9903,121.67
5.0509,121.67
5.1111,121.75
5.1714,121.75
5.2318,121.73
5.2927,121.61
5.3531,121.61
5.4134,121.64
5.4741,121.64
5.5346,121.70
5.5949,121.69
5.6564,121.69
5.7166,121.61
5.7784,121.61
5.8385,121.64
5.8998,121.72
5.9603,121.72
6.0208,121.72
6.0812,121.72
6.1420,121.64
6.2028,121.65
6.2630,121.65
6.3232,121.71
6.3841,121.71
6.4443,121.70
6.5046,121.64
6.5660,121.64
6.6173,122.00
6.6769,122.00
6.7383,122.01
6.7990,122.00
6.8514,122.00
6.9050,121.92
6.9593,121.92
7.0131,121.92
7.0694,121.92
7.1198,121.99
7.1732,121.99
7.2238,121.98
7.2755,121.98
7.3294,121.89
7.4006,121.87
7.4564,121.87
7.5150,121.94
7.5801,121.94
7.6407,121.63
7.7011,121.52
7.7613,121.52
7.8225,121.50
7.8843,121.50
7.9446,121.58
8.0051,121.57
8.0659,121.57
8.1263,121.47
8.1867,121.48
8.2469,121.48
8.3028,121.61
8.3540,121.61
8.4107,121.61
8.4702,121.61
8.5210,121.53
8.5732,121.53
8.6273,121.58
8.6830,121.58
8.7432,121.69
8.8053,121.69
8.8578,121.69
8.9157,121.62
8.9673,121.62
9.0190,121.65
9.0735,121.65
9.1389,121.72
9.1987,121.69
9.2603,121.69
9.3117,121.56
9.3705,121.56
9.4264,121.58
9.4791,121.58
9.5400,121.65
9.6006,121.56
9.6638,121.56
9.7272,121.47
9.7859,121.50
9.8441,121.50
9.9168,121.56
9.9719,121.56
10.0243,121.53
10.0761,121.53
10.1362,121.43
10.1888,121.44
10.2416,121.44
10.3001,121.54
10.3509,121.54
10.4028,121.53
10.4659,121.53
10.5397,121.44
10.5961,121.48
10.6474,121.48
10.7010,121.56
10.7519,121.56
10.8023,121.55
10.8823,121.55
10.9440,121.47
11.0090,121.48
11.0738,121.48
11.1406,121.56
11.2041,121.57
11.2581,121.57
11.3211,121.50
11.3875,121.51
11.4544,121.51
11.5112,121.58
11.5913,121.56
11.6470,121.56
11.7114,121.49
11.7685,121.49
11.8243,121.50
11.8812,121.50
11.9458,121.59
12.0114,121.58
12.0718,121.58
12.1335,121.51
12.1939,121.52
12.2543,121.52
12.3172,121.59
12.3786,121.59
12.4390,121.57
12.4992,121.48
12.5597,121.48
12.6205,121.51
12.6812,121.51
12.7414,121.59
12.8022,121.56
12.8633,121.56
12.9238,121.47
12.9844,121.47
13.0456,121.49
13.1059,121.57
13.1662,121.57
13.2265,121.59
13.2872,121.52
13.3481,121.52
13.4083,121.55
13.4686,121.55
13.5346,121.66
13.5949,121.64
13.6558,121.64
13.7161,121.55
13.7763,121.55
13.8383,121.55
13.8991,121.65
13.9601,121.65
14.0216,121.63
14.0834,121.63
14.1441,121.53
14.2047,121.51
14.2652,121.51
14.3257,121.58
14.3867,121.58
14.4484,121.54
14.5102,121.45
14.5704,121.45
14.6312,121.46
14.6918,121.54
14.7529,121.54
14.8132,121.53
14.8736,121.53
14.9340,121.43
14.9911,121.46
15.0427,121.46
15.0967,122.22
15.1538,122.22
15.2217,122.16
15.2754,122.16
15.3394,122.03
15.3953,122.08
15.4505,122.08
15.5175,122.16
15.5817,122.16
15.6410,122.13
15.7023,122.03
15.7710,122.03
15.8312,122.07
15.8856,122.07
15.9412,122.14
16.0051,122.13
16.0756,122.13
16.1397,121.36
16.2070,121.45
16.2715,121.45
16.3328,121.57
16.3931,121.56
16.4565,121.56
16.5186,121.47
16.5801,121.47
16.6465,121.49
16.7079,121.60
16.7698,121.60
16.8304,121.58
16.8965,121.47
16.9575,121.47
17.0180,121.47
17.0788,121.47
17.1396,121.55
17.2022,121.53
17.2582,121.53
17.3144,121.97
17.3768,121.97
17.4419,122.00
17.5035,122.12
17.5628,122.12
17.6141,122.09
17.6664,122.09
17.7165,126.27
17.7774,126.27
17.8286,127.81
17.8789,127.81
17.9299,131.82
17.9803,131.82
18.0316,134.17
18.0826,134.17
18.1333,137.01
18.1836,137.01
18.2336,140.61
18.2841,140.61
