step_idx,forward_wall_ms
0,99.7288
1,5.2851
2,4.7651
3,4.6963
4,4.7508
5,5.0383
6,4.9017
7,5.1922
8,7.0092
9,5.4321
10,7.7805
11,4.9007
12,4.8741
13,4.9752
14,4.8618
15,4.8552
16,4.9219
17,4.9657
18,7.3446
19,4.8787
20,4.7395
21,5.0148
22,4.8120
23,5.3403
24,4.9466
25,4.9654
26,4.8709
27,4.9667
28,4.5092
29,8.2507
30,4.5407
31,5.1155
32,4.7486
33,5.0009
34,4.8964
35,5.0080
36,4.8566
37,4.8594
38,4.8969
39,7.7164
40,4.9715
41,5.0604
42,4.8672
43,7.2927
44,4.8526
45,5.1647
46,4.8708
47,5.0614
48,4.6938
49,4.8473
