step_idx,forward_wall_ms
0,76.0137
1,5.5272
2,4.6253
3,4.7187
4,4.6512
5,4.9026
6,5.0686
7,5.1755
8,7.0596
9,4.9377
10,6.2579
11,5.2094
12,5.0318
13,5.0682
14,7.4405
15,4.6538
16,4.7205
17,4.7860
18,6.2053
19,4.6832
20,4.5937
21,5.0026
22,5.0177
23,4.9760
24,4.6035
25,6.5901
26,4.7881
27,4.7570
28,4.4831
29,8.7559
30,4.5180
31,5.0784
32,4.7992
33,4.8332
34,4.6485
35,4.8611
36,4.6914
37,4.7233
38,4.7504
39,7.0916
40,4.9202
41,6.6074
42,4.7649
43,6.7641
44,4.7535
45,6.3292
46,4.7056
47,4.8137
48,4.5352
49,4.8200
