step_idx,forward_wall_ms
0,89.2554
1,5.0453
2,5.8776
3,4.4754
4,4.3233
5,5.0001
6,4.6674
7,5.1623
8,7.0136
9,5.1054
10,8.1880
11,10.4652
12,5.0681
13,5.3585
14,6.1489
15,4.9956
16,4.6890
17,5.2271
18,7.3123
19,4.6981
20,4.3933
21,5.0325
22,4.4092
23,5.6028
24,4.5791
25,4.6785
26,4.5907
27,4.8548
28,5.8388
29,8.0677
30,5.9216
31,4.9686
32,4.7445
33,12.9672
34,4.7678
35,4.9426
36,4.6020
37,4.9252
38,4.5638
39,4.9963
40,4.7041
41,5.3033
42,5.2244
43,14.3140
44,4.6052
45,6.1184
46,6.1713
47,7.0192
48,10.6976
49,4.8631
