step_idx,forward_wall_ms
0,84.5081
1,5.9961
2,5.1639
3,5.0346
4,5.1046
5,5.4070
6,5.4076
7,5.6143
8,6.3929
9,5.6199
10,5.1988
11,5.4110
12,5.3714
13,5.4863
14,5.2640
15,5.2508
16,5.3352
17,5.1881
18,5.3190
19,6.7980
20,5.1892
21,7.7837
22,5.2147
23,7.5134
24,5.2838
25,5.1152
26,5.1870
27,6.7561
28,4.8254
29,8.2222
30,4.7903
31,7.2154
32,5.1934
33,7.1268
34,5.2497
35,6.3980
36,5.1874
37,7.1467
38,5.3155
39,5.4728
40,5.4927
41,6.7245
42,5.2926
43,5.2337
44,5.5716
45,5.3968
46,5.1676
47,7.8188
48,5.0283
49,6.3729
