step_idx,forward_wall_ms
0,75.0575
1,6.2693
2,4.9820
3,4.9977
4,5.0256
5,5.3392
6,5.1933
7,5.4882
8,6.0250
9,5.4302
10,8.0777
11,5.1450
12,5.1778
13,5.3991
14,8.4742
15,5.4654
16,5.1504
17,5.1548
18,5.2453
19,5.2181
20,5.0242
21,5.3698
22,5.1984
23,7.2537
24,5.1392
25,6.6752
26,5.0765
27,5.3896
28,5.0336
29,8.0744
30,4.8617
31,5.3109
32,5.1056
33,5.4550
34,5.2056
35,5.4204
36,5.0918
37,5.1753
38,5.2606
39,5.1194
40,5.3328
41,8.4786
42,5.2383
43,5.2869
44,5.3906
45,7.6284
46,5.0678
47,7.0686
48,4.9771
49,6.3871
