step_idx,forward_wall_ms
0,81.2997
1,4.8224
2,4.3058
3,4.2070
4,4.3015
5,4.7848
6,4.4147
7,4.6344
8,5.8819
9,4.6956
10,6.4515
11,4.6470
12,4.4876
13,4.6918
14,4.4857
15,4.4662
16,4.5035
17,4.5482
18,4.5578
19,4.5855
20,4.4128
21,6.7074
22,4.4288
23,7.0377
24,4.4229
25,6.4523
26,4.4025
27,4.4640
28,4.1894
29,6.7671
30,4.1415
31,4.5813
32,4.3972
33,4.5881
34,4.4923
35,4.9922
36,4.9043
37,6.0985
38,4.6783
39,4.5334
40,5.1515
41,4.5113
42,4.6906
43,4.4161
44,4.5622
45,4.4782
46,4.2962
47,4.3977
48,4.2289
49,4.3300
