timestamp_s,power_W
0.0592,31.31
0.1169,27.88
0.1713,27.88
0.2294,27.98
0.2874,27.98
0.3479,28.87
0.4072,28.87
0.4623,28.06
0.5208,27.98
0.5814,27.98
0.6430,27.86
0.6989,27.86
0.7585,28.06
0.8253,27.98
0.8893,27.98
0.9524,27.86
1.0155,27.86
1.0787,28.06
1.1421,27.96
1.2014,27.96
1.2606,27.98
1.3301,27.88
1.3862,27.88
1.4459,27.98
1.5176,27.98
1.9859,27.89
2.0828,27.88
2.1568,27.98
2.2159,27.98
2.2977,28.17
2.3657,27.88
2.4504,27.86
2.5222,27.76
2.5816,27.76
2.6394,27.86
2.7012,27.86
2.7877,28.06
2.8653,27.88
2.9610,27.86
3.0253,27.88
3.0886,27.88
3.1614,27.98
3.2263,27.86
3.2894,27.86
3.3501,28.65
3.4060,28.65
3.4759,27.96
3.5327,27.86
3.5965,27.86
3.6536,27.86
3.7312,27.96
3.7938,27.96
3.8570,27.86
3.9188,27.86
3.9890,27.96
4.0518,27.96
4.1136,27.96
4.1850,28.26
4.2518,27.86
4.3058,27.86
4.3650,27.86
4.4404,27.86
4.5039,27.86
4.5673,27.96
4.6306,28.72
4.7035,28.72
4.7670,27.93
4.8338,27.91
4.8977,27.91
4.9609,27.94
5.0195,27.94
5.0803,28.14
5.1396,28.44
5.2015,28.44
5.2645,27.94
5.3280,27.94
5.3868,28.06
5.4503,27.96
5.5089,27.96
5.5642,27.96
5.6223,27.96
5.6822,28.06
5.7431,27.94
5.8012,27.94
5.8554,27.86
5.9143,27.86
5.9699,27.96
6.0293,27.96
6.0861,28.06
6.1425,27.85
6.2051,27.85
6.2667,28.24
6.3327,28.24
6.3881,28.04
6.4456,27.85
6.5031,27.85
6.5622,27.94
6.6165,27.94
6.6709,27.94
6.7284,27.94
6.7866,27.94
6.8427,27.96
6.9008,27.96
6.9582,27.86
7.0124,27.86
7.0656,27.94
7.1236,27.94
7.1785,27.96
7.2332,27.96
7.2882,28.06
7.3488,27.96
7.4049,27.96
7.4605,27.98
7.5154,27.98
7.5692,27.98
7.6256,27.98
7.6796,27.96
7.7389,27.96
7.8017,28.06
7.8561,27.86
7.9100,27.86
7.9641,27.85
8.0189,27.85
8.0747,27.96
8.1291,27.96
8.1836,28.16
8.2703,27.86
8.3443,27.86
8.4113,27.86
8.4673,27.86
