timestamp_s,power_W
0.0011,42.04
0.0577,42.04
0.1091,42.04
0.1592,42.04
0.2093,49.96
0.2602,49.96
0.3111,49.96
0.3640,49.96
0.4149,49.96
0.4650,49.96
0.5150,49.96
0.5651,49.96
0.6152,49.96
0.6654,49.96
0.7155,66.95
0.7658,66.95
0.8159,66.95
0.8693,66.95
0.9233,66.95
0.9734,66.95
1.0235,66.95
1.0736,66.95
1.1236,66.95
1.1737,66.95
1.2238,73.03
1.2739,73.03
1.3287,73.03
1.3820,73.03
1.4350,73.03
1.4851,73.03
1.5352,73.03
1.5853,73.03
1.6354,73.03
1.6857,73.03
1.7369,72.93
1.7870,72.93
1.8370,72.93
1.8873,72.93
1.9374,72.93
1.9884,72.93
2.0389,72.93
2.0920,72.93
2.1450,72.93
2.1980,72.93
