Processing [profile_outputs/pointpillars/scatter_after/nsight_after.sqlite] with [/usr/local/cuda-12.1/nsight-systems-2023.1.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     17.4       13,550,203        174   77,874.7   12,864.5     2,080  1,030,026    230,589.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
     11.6        9,034,414        100   90,344.1   90,435.0    87,715     94,404        913.2  sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2…
      8.9        6,915,810        200   34,579.1   18,736.5     5,089    207,017     36,450.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      8.6        6,724,983        190   35,394.6   24,193.0     9,601     91,364     26,646.7  void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, (bool)1, (int)1>(T2, T2, cudnnTensorStruct, co…
      8.3        6,450,282         10  645,028.2  631,290.0   557,270    756,960     67,851.4  nms_kernel(int, float, const float *, unsigned long long *)                                         
      6.1        4,719,399         30  157,313.3  157,270.0   156,454    158,279        476.3  cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1                            
      4.1        3,219,241        270   11,923.1    9,216.0     3,232     42,465      8,957.4  void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)2>(…
      3.4        2,618,547         20  130,927.4  130,694.0   129,286    136,198      1,579.8  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)                
      3.1        2,449,158         10  244,915.8  244,986.0   244,202    246,219        592.6  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)…
      2.4        1,903,980         50   38,079.6   20,625.0     1,568     97,380     33,553.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
      2.4        1,862,220         10  186,222.0  186,199.5   185,575    187,048        442.1  cudnn_infer_ampere_scudnn_128x64_relu_interior_nn_v1                                                
      2.1        1,622,049         20   81,102.5   94,100.0    20,128    117,220     38,251.1  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)3, (int)…
      1.9        1,500,340        133   11,280.8    8,193.0     1,759     30,241      8,929.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      1.9        1,447,034         70   20,671.9   18,801.0    10,304     35,586      5,668.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      1.8        1,402,459         10  140,245.9  140,406.0   139,334    141,030        516.6  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)               
      1.8        1,398,040         10  139,804.0  151,430.0    76,003    207,240     51,932.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      1.6        1,252,977         10  125,297.7  124,661.0   124,005    130,725      1,958.9  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_128x128_16x4_nhwc_align…
      1.2          905,127         20   45,256.4   44,642.0     7,392     92,772     38,302.4  void cudnn::ops::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(…
      1.1          870,309         10   87,030.9   95,684.5    49,730    126,022     29,634.6  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::MaxOps<flo…
      1.1          839,170         10   83,917.0   89,539.5    42,689    123,333     33,089.1  ampere_sgemm_32x128_tn                                                                              
      1.1          831,139         10   83,113.9   83,011.5    82,276     84,451        611.1  void foldedNhwcToNchwKernel<float, float, float, (bool)1, (cudnnKernelDataType_t)0>(int, int, int, …
      1.0          740,830         10   74,083.0   74,035.0    73,379     74,627        364.5  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_128x128_16x4_nhwc_unity…
      0.9          695,516         10   69,551.6   68,451.0    67,683     80,163      3,790.6  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align4>(T1::Params)               
      0.8          627,099         10   62,709.9   62,658.5    62,146     63,939        489.2  sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x…
      0.8          586,231         10   58,623.1   58,594.0    58,338     58,947        193.0  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4…
      0.6          505,299         30   16,843.3   16,833.0    16,704     16,993         71.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.4          337,998         20   16,899.9   16,897.0    16,640     17,121        147.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<void at::nat…
      0.4          327,250         80    4,090.6    3,968.0     2,112      9,792      1,465.8  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.4          296,779         20   14,839.0   14,880.5    14,304     15,520        409.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.3          240,042         50    4,800.8    5,648.0     2,368      8,000      1,876.8  void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::DispatchSelectIf<at_cuda_det…
      0.2          186,438         10   18,643.8   18,656.5    18,529     18,720         56.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.2          143,395          8   17,924.4   17,760.5    17,057     18,913        764.9  void at::native::radixSortKVInPlace<(int)-2, (int)-1, (int)32, (int)32, float, long, unsigned int>(…
      0.2          133,384         10   13,338.4   13,441.0    12,928     13,633        244.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
      0.1          101,635         20    5,081.8    5,024.0     2,848      7,264      2,068.6  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
