Processing [profile_outputs/pointpillars/scatter_before/nsight_before.sqlite] with [/usr/local/cuda-12.1/nsight-systems-2023.1.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     13.2        9,040,424        100   90,404.2   90,532.0    87,524    92,517        995.4  sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2…
     10.2        6,943,398        200   34,717.0   18,737.0     5,152   207,754     36,673.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      9.9        6,739,037        190   35,468.6   24,225.0     9,601   100,069     26,658.0  void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, (bool)1, (int)1>(T2, T2, cudnnTensorStruct, co…
      9.5        6,450,894         10  645,089.4  631,229.5   557,114   756,803     67,842.4  nms_kernel(int, float, const float *, unsigned long long *)                                         
      6.9        4,725,371         30  157,512.4  157,480.0   156,551   158,760        579.9  cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1                            
      5.2        3,551,270        164   21,654.1   12,816.5     2,080   163,495     37,789.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      4.7        3,228,769        270   11,958.4    9,249.0     3,136    47,202      9,028.4  void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)2>(…
      3.8        2,608,953         20  130,447.7  130,502.0   128,518   131,974      1,118.3  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)                
      3.6        2,444,212         10  244,421.2  244,236.0   243,819   245,836        629.4  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)…
      2.8        1,923,323         50   38,466.5   20,528.5     1,569    98,821     33,805.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
      2.7        1,859,511         10  185,951.1  185,977.0   185,320   186,473        297.4  cudnn_infer_ampere_scudnn_128x64_relu_interior_nn_v1                                                
      2.4        1,611,533         20   80,576.7   94,037.0    19,840   116,102     38,152.2  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)3, (int)…
      2.2        1,503,554        133   11,304.9    8,128.0     1,728    30,305      8,949.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      2.1        1,443,585         70   20,622.6   18,800.5    10,369    35,682      5,588.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      2.1        1,412,162         10  141,216.2  151,511.0    75,812   208,330     50,911.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      2.1        1,406,785         10  140,678.5  140,710.0   140,006   141,575        516.0  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)               
      1.8        1,248,153         10  124,815.3  124,886.0   124,165   125,254        377.7  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_128x128_16x4_nhwc_align…
      1.3          887,981         20   44,399.1   44,354.0     7,040    81,892     37,765.8  void cudnn::ops::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(…
      1.3          874,186         10   87,418.6   95,796.5    50,146   126,374     29,663.5  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::MaxOps<flo…
      1.2          835,494         10   83,549.4   90,148.0    42,690   123,334     30,711.3  ampere_sgemm_32x128_tn                                                                              
      1.2          830,694         10   83,069.4   82,916.0    82,627    84,099        448.8  void foldedNhwcToNchwKernel<float, float, float, (bool)1, (cudnnKernelDataType_t)0>(int, int, int, …
      1.1          741,311         10   74,131.1   74,147.0    73,508    74,691        318.4  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_128x128_16x4_nhwc_unity…
      1.0          688,160         10   68,816.0   68,563.0    68,035    70,243        718.2  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align4>(T1::Params)               
      0.9          627,614         10   62,761.4   62,435.0    62,307    64,451        714.6  sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage2_warpsize2x…
      0.9          585,468         10   58,546.8   58,594.5    58,275    58,883        194.0  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4…
      0.7          505,176         30   16,839.2   16,833.0    16,769    16,993         50.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.5          345,521         10   34,552.1   39,313.5    13,825    53,858     17,496.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
