step_idx,forward_wall_ms
0,35.2255
1,19.9846
2,21.4467
3,17.4136
4,18.2971
5,21.9761
6,36.6979
7,19.2640
8,26.0841
9,24.6246
10,15.6813
11,21.1267
12,30.0731
13,19.1691
14,30.6948
15,34.0451
16,41.4851
17,76.6880
18,38.0864
19,48.9008
20,57.7891
21,65.6221
22,27.1175
23,18.0386
24,19.0703
25,23.4382
26,22.3167
27,23.5024
28,38.9508
29,28.6666
30,21.3796
31,29.0087
32,22.8841
33,39.9969
34,21.2382
35,42.9013
36,26.2354
37,41.2902
38,28.5000
39,37.4976
40,25.7211
41,44.3909
42,26.0226
43,45.3710
44,20.9286
45,24.1443
46,32.6174
47,86.8510
48,84.9081
49,37.3957
