step_idx,forward_wall_ms
0,48.0094
1,32.7450
2,24.4813
3,26.7674
4,39.8878
5,18.9487
6,29.5006
7,29.4535
8,40.8933
9,32.1812
10,62.2049
11,24.9308
12,50.6203
13,33.1818
14,47.6722
15,24.4791
16,20.9573
17,22.4704
18,39.2930
19,52.3918
20,48.4348
21,33.8064
22,41.4541
23,49.6290
24,92.8830
25,29.1769
26,51.8994
27,60.0045
28,55.5544
29,65.2527
30,27.2555
31,42.0787
32,21.0786
33,22.5378
34,23.2108
35,25.2596
36,20.7758
37,42.4523
38,27.2192
39,69.2872
40,27.5862
41,30.5284
42,28.6400
43,88.3649
44,35.7343
45,24.9641
46,45.6299
47,31.2768
48,28.3824
49,37.7632
