step_idx,forward_wall_ms
0,20.3149
1,17.2841
2,31.9670
3,43.0887
4,20.5685
5,21.6375
6,35.9500
7,29.1736
8,22.8782
9,40.8162
10,27.9525
11,54.8820
12,49.6861
13,27.2399
14,39.4375
15,35.3857
16,17.1952
17,16.2775
18,22.1509
19,55.6754
20,33.1025
21,21.6139
22,25.0162
23,20.9367
24,45.3910
25,58.0157
26,43.6843
27,66.3860
28,63.0990
29,53.6436
30,41.1679
31,57.2614
32,20.3394
33,34.7511
34,50.9822
35,22.1928
36,22.8142
37,22.4159
38,21.8658
39,50.3346
40,24.0472
41,27.9870
42,41.2995
43,20.8493
44,18.6751
45,19.1639
46,34.4000
47,36.2539
48,22.1358
49,21.4219
