timestamp_s,power_W
1.0465,69.46
1.0974,74.47
1.1484,74.47
1.1995,74.39
1.2505,74.39
1.3063,63.85
1.3575,63.85
1.4084,74.00
1.4592,74.00
1.5101,63.45
1.5609,63.45
1.6118,63.61
1.6642,63.61
1.7151,74.28
1.7668,74.28
1.8177,63.70
1.8686,63.70
1.9195,74.50
1.9703,74.50
2.0212,68.96
2.0721,68.96
2.1240,69.13
2.1749,69.13
2.2258,66.06
2.2795,66.06
2.3313,72.20
2.3856,69.18
2.4375,69.18
2.4887,69.16
2.5468,69.16
2.5977,74.80
2.6487,74.80
2.6995,63.44
2.7563,63.44
2.8073,74.61
2.8582,74.61
2.9091,63.55
2.9600,63.55
3.0109,74.09
3.0618,74.09
3.1170,63.75
3.1681,63.75
3.2199,74.45
3.2709,74.45
3.3217,63.83
3.3726,63.83
3.4235,75.75
3.4745,75.75
3.5254,73.27
3.5829,73.27
3.6338,71.69
3.6846,71.69
3.7355,66.11
3.7920,66.11
3.8429,71.52
3.9029,72.00
3.9538,72.00
4.0058,74.45
4.0568,74.45
4.1079,74.62
4.1604,74.62
4.2113,68.82
4.2631,68.82
4.3141,69.29
4.3650,69.29
4.4159,74.56
4.4669,74.56
4.5180,63.82
4.5752,63.82
4.6270,69.31
4.6852,69.31
4.7361,69.22
4.7870,69.22
4.8380,71.54
4.8890,71.54
4.9399,66.69
4.9909,66.69
5.0417,74.93
5.0926,74.93
5.1453,67.66
5.1961,67.66
5.2493,71.29
5.3002,71.29
5.3511,72.64
5.4020,66.08
5.4533,66.08
