step_idx,forward_wall_ms
0,50.8482
1,52.0769
2,44.7500
3,39.8829
4,41.0669
5,44.9752
6,37.0783
7,35.6360
8,30.5627
9,31.5453
10,29.4915
11,33.2489
12,18.9825
13,28.5808
14,51.6505
15,67.9079
16,23.2639
17,51.0247
18,33.5135
19,22.6960
20,18.7250
21,17.9299
22,73.0870
23,90.9040
24,24.7061
25,21.3241
26,22.8881
27,21.6653
28,102.3568
29,45.8116
30,45.9423
31,38.5786
32,22.4034
33,24.3983
34,22.2042
35,37.2043
36,53.3992
37,83.0693
38,23.3367
39,23.0353
40,20.2585
41,31.7985
42,19.2428
43,27.9844
44,58.6874
45,69.9365
46,20.0152
47,31.9590
48,19.3017
49,18.4314
