timestamp_s,power_W
1.2938,73.01
1.3450,72.73
1.3970,72.73
1.4480,72.56
1.5001,72.56
1.5511,72.69
1.6020,72.69
1.6551,74.73
1.7060,76.07
1.7632,76.07
1.8140,72.76
1.8648,72.76
1.9188,73.16
1.9731,73.16
2.0242,67.79
2.0758,67.79
2.1266,69.12
2.1785,69.12
2.2295,71.67
2.2810,71.67
2.3318,70.08
2.3929,70.08
2.4439,72.88
2.4947,72.88
2.5463,68.06
2.5995,68.06
2.6504,68.54
2.7013,68.54
2.7533,71.21
2.8043,71.21
2.8556,69.96
2.9091,68.14
2.9617,68.14
3.0127,68.25
3.0643,68.25
3.1177,64.93
3.1870,64.93
3.2379,68.28
3.2888,68.28
3.3397,73.62
3.3907,73.62
3.4415,66.19
3.4924,66.19
3.5451,72.97
3.5960,72.97
3.6477,68.24
3.6986,68.24
3.7504,68.35
3.8012,68.35
3.8542,68.68
3.9244,65.93
3.9752,65.93
4.0312,74.92
4.0821,74.92
4.1328,63.30
4.1891,63.30
4.2401,72.69
4.2912,72.69
4.3421,70.20
4.3931,70.20
4.4441,66.91
4.4951,66.91
4.5460,71.94
4.5968,71.94
4.6507,70.15
4.7016,70.15
4.7535,66.18
