step_idx,forward_wall_ms
0,30.6900
1,51.2115
2,38.2110
3,59.4966
4,18.1365
5,23.2901
6,23.3456
7,31.4356
8,21.9048
9,21.6756
10,27.9840
11,27.4357
12,44.5890
13,20.0991
14,33.7650
15,21.5775
16,20.9402
17,30.2891
18,51.0709
19,43.7093
20,44.2881
21,30.7163
22,43.4341
23,40.7042
24,22.5906
25,61.1658
26,31.8532
27,21.5584
28,25.5175
29,18.2704
30,30.7895
31,42.4250
32,26.0078
33,22.8497
34,30.3081
35,24.1374
36,23.0042
37,23.9664
38,24.9506
39,21.5306
40,28.7990
41,25.7411
42,22.2723
43,24.2379
44,22.1650
45,46.4714
46,64.9673
47,54.8003
48,48.2423
49,48.0500
