timestamp_s,power_W
1.4465,73.88
1.4974,72.08
1.5485,72.08
1.6062,73.04
1.6573,73.04
1.7091,72.19
1.7614,72.19
1.8123,70.85
1.8631,70.85
1.9141,69.38
1.9650,69.38
2.0158,80.01
2.0667,80.01
2.1177,74.68
2.1687,74.68
2.2195,63.81
2.2704,63.81
2.3214,74.72
2.3724,74.72
2.4242,75.04
2.4776,75.04
2.5286,64.51
2.5797,64.51
2.6308,75.29
2.6816,75.29
2.7324,64.09
2.7855,74.93
2.8364,74.93
2.8915,74.63
2.9423,74.63
2.9934,74.86
3.0444,74.86
3.0952,69.58
3.1761,69.58
3.2295,73.53
3.2804,73.53
3.3352,65.17
3.3861,69.22
3.4370,69.22
3.4885,69.54
3.5413,69.54
3.5921,74.78
3.6429,74.78
3.6939,74.56
3.7447,74.56
3.7956,69.47
3.8466,69.47
3.8975,69.72
3.9487,69.72
3.9996,74.45
4.0527,74.45
4.1055,69.56
4.1565,69.56
4.2074,68.91
4.2583,68.91
4.3094,73.76
4.3603,73.76
4.4113,64.79
4.4622,64.79
4.5137,71.61
4.5705,71.95
4.6769,71.95
4.7279,74.58
4.7788,74.58
4.8454,71.66
4.8989,72.06
4.9505,72.06
5.0085,74.15
