step_idx,forward_wall_ms
0,33.9309
1,44.1128
2,30.0631
3,23.1130
4,39.2708
5,51.6494
6,27.0753
7,47.0090
8,22.4137
9,22.9740
10,46.3109
11,43.9293
12,74.6461
13,35.3824
14,75.3933
15,28.6607
16,24.2170
17,33.5111
18,37.0592
19,23.4430
20,83.9371
21,24.8599
22,27.4269
23,56.9216
24,26.7146
25,98.0544
26,23.6169
27,50.9753
28,35.8161
29,93.6273
30,32.4399
31,41.7430
32,23.5823
33,33.7935
34,35.8225
35,22.8773
36,23.2064
37,21.2230
38,23.9692
39,77.8594
40,32.6285
41,57.8470
42,37.4399
43,90.1445
44,42.1346
45,32.1728
46,30.8056
47,37.3877
48,38.8948
49,28.2445
