timestamp_s,power_W
1.5730,81.43
1.6298,74.18
1.6810,74.18
1.7319,84.45
1.7840,84.45
1.8349,89.24
1.8859,89.24
1.9368,64.58
1.9879,64.58
2.0417,89.20
2.0926,89.20
2.1443,77.16
2.1953,77.16
2.2504,77.10
2.3031,77.10
2.3540,88.87
2.4061,88.87
2.4571,64.66
2.5080,64.66
2.5589,76.49
2.6099,76.49
2.6635,77.89
2.7145,75.75
2.7661,75.75
2.8191,73.89
2.8701,73.89
2.9211,79.70
2.9719,79.70
3.0229,89.54
3.0738,89.54
3.1248,64.47
3.1757,64.47
3.2292,80.68
3.2802,80.68
3.3312,72.88
3.4064,72.88
3.4575,88.88
3.5105,88.88
3.5618,76.28
3.6127,76.28
3.6688,76.67
3.7198,76.59
3.7732,76.59
3.8242,64.12
3.8750,64.12
3.9288,81.25
3.9901,81.25
4.0411,71.98
4.0937,71.98
4.1471,76.41
4.1981,76.41
4.2491,69.43
4.3000,69.43
4.3510,71.70
4.4044,71.70
4.4563,85.00
4.5074,85.00
4.5583,68.49
4.6093,68.49
4.6604,88.60
4.7122,88.60
4.7632,64.03
4.8141,64.03
4.8651,89.36
4.9186,89.36
4.9695,64.12
5.0206,64.12
5.0716,88.45
5.1226,88.45
5.1735,64.33
5.2246,64.33
5.2756,89.01
5.3387,89.18
5.3904,89.18
5.4432,76.30
5.5022,76.30
5.5602,76.73
5.6112,76.73
5.6639,76.79
5.7150,76.79
5.7696,76.09
5.8206,76.09
5.8716,76.96
5.9258,76.96
5.9767,85.26
6.0277,85.26
6.0787,80.12
