step_idx,forward_wall_ms
0,36.1287
1,38.4332
2,21.9585
3,25.5377
4,25.8124
5,41.4232
6,28.0505
7,29.7945
8,27.9157
9,62.6910
10,25.5759
11,28.2956
12,72.3573
13,24.5782
14,65.2745
15,45.1363
16,27.7705
17,34.5062
18,30.4088
19,26.2824
20,35.1028
21,31.9173
22,25.2969
23,49.1196
24,24.2675
25,71.8549
26,55.6694
27,24.2538
28,23.2488
29,22.8715
30,23.5768
31,24.0198
32,28.0167
33,25.2964
34,31.3071
35,23.1654
36,22.5848
37,23.4505
38,45.7798
39,31.5097
40,50.6169
41,40.2241
42,21.7518
43,84.1026
44,51.1563
45,23.3192
46,21.6654
47,26.4899
48,22.4005
49,21.5302
