timestamp_s,power_W
1.8673,78.30
1.9182,75.15
1.9691,75.15
2.0246,75.01
2.0755,75.01
2.1267,97.51
2.1777,97.51
2.2286,63.73
2.2795,63.73
2.3307,83.42
2.3816,83.42
2.4358,66.62
2.4870,66.62
2.5390,86.59
2.5900,86.59
2.6410,63.77
2.6922,63.77
2.7433,86.18
2.7945,86.18
2.8454,64.11
2.8974,64.11
2.9667,77.09
3.0196,73.57
3.0704,73.57
3.1212,63.88
3.1800,63.88
3.2311,86.88
3.2822,86.88
3.3333,75.80
3.3844,75.80
3.4355,75.74
3.4928,75.74
3.5438,87.07
3.5948,87.07
3.6458,86.72
3.6968,86.72
3.7478,75.10
3.8002,75.10
3.8511,76.81
3.9040,76.81
3.9550,73.41
4.0090,73.41
4.0601,63.25
4.1114,63.25
4.1623,77.02
4.2399,78.91
4.2908,78.91
4.3419,99.66
4.3929,99.66
4.4439,78.30
4.4948,78.30
4.5458,81.71
4.5969,81.71
4.6501,68.65
4.7011,68.65
4.7528,86.27
4.8039,86.27
4.8549,63.38
4.9060,63.38
4.9570,86.56
5.0078,86.56
5.0587,63.66
5.1132,63.66
5.1642,86.42
5.2152,86.42
5.2662,67.11
5.3172,67.11
5.3685,82.53
5.4195,82.53
5.4705,86.40
5.5214,86.40
5.5742,69.62
5.6252,69.62
5.6769,80.80
5.7279,80.80
5.7789,89.48
5.8299,89.48
5.8809,71.82
5.9318,71.82
5.9827,63.75
