step_idx,forward_wall_ms
0,20.3778
1,20.4066
2,28.2846
3,32.5905
4,20.0952
5,18.4265
6,17.9510
7,19.7827
8,34.0640
9,19.5941
10,36.2397
11,19.9447
12,34.7702
13,22.4614
14,40.0446
15,20.1737
16,40.1676
17,23.8818
18,39.0905
19,27.9853
20,22.3376
21,33.8574
22,19.9262
23,34.0210
24,27.9389
25,44.9436
26,39.7448
27,21.8208
28,21.1717
29,21.2712
30,27.8186
31,41.5651
32,23.8508
33,39.0733
34,46.5569
35,38.6578
36,20.6578
37,61.8442
38,73.9774
39,21.6064
40,26.0067
41,40.3875
42,23.2840
43,22.8671
44,20.6108
45,22.5427
46,22.9868
47,19.8195
48,38.3995
49,54.4969
