timestamp_s,power_W
1.0312,86.44
1.0821,101.14
1.1340,101.14
1.1849,101.34
1.2357,101.34
1.2865,101.45
1.3374,101.45
1.3890,102.07
1.4399,102.07
1.4947,109.91
1.5456,109.91
1.5965,95.07
1.6474,95.07
1.7025,100.75
1.7539,100.75
1.8048,102.84
1.8558,102.84
1.9066,102.95
1.9576,102.95
2.0086,113.02
2.0596,113.02
2.1106,104.15
2.1615,104.15
2.2125,89.95
2.2635,89.95
2.3163,100.51
2.3673,100.97
2.4182,100.97
2.4690,83.16
2.5198,83.16
2.5707,73.68
2.6216,73.68
2.6751,79.08
2.7261,79.08
2.7806,68.78
2.8317,68.78
2.8827,84.99
2.9336,84.99
2.9851,73.93
3.0435,73.93
3.0944,74.09
3.1453,74.09
3.1973,80.69
3.2483,80.69
3.2992,67.96
3.3501,67.96
3.4046,73.60
3.4556,73.60
3.5066,84.67
3.5576,84.67
3.6087,84.78
3.6597,84.78
3.7117,74.98
3.7627,74.98
3.8140,85.10
3.8665,85.10
3.9175,78.27
3.9683,78.27
4.0192,70.03
4.0703,70.03
