timestamp_s,power_W
0.9839,82.49
1.0366,82.49
1.0876,82.31
1.1386,82.31
1.1897,87.98
1.2407,87.98
1.2916,87.52
1.3426,87.52
1.3936,83.54
1.4446,83.54
1.4956,82.54
1.5466,82.54
1.5976,83.83
1.6484,83.83
1.7023,84.15
1.7533,84.15
1.8042,89.07
1.8552,89.07
1.9062,87.83
1.9571,87.83
2.0082,83.22
2.0591,83.22
2.1101,76.44
2.1610,76.44
2.2120,80.47
2.2687,80.47
2.3196,83.37
2.3744,83.37
2.4277,83.11
2.4798,91.25
2.5306,91.25
2.5815,83.71
2.6323,83.71
2.6832,82.79
2.7340,82.79
2.7849,83.33
2.8357,83.33
2.8866,83.54
2.9374,83.54
2.9883,86.57
3.0392,86.57
3.0900,89.37
3.1409,89.37
3.1942,83.32
3.2450,83.32
3.2960,83.25
