timestamp_s,power_W
0.0535,63.65
0.1045,63.65
0.1559,63.48
0.2081,63.48
0.2607,63.23
0.3116,63.23
0.3721,63.30
0.4240,63.30
0.4775,63.42
0.5367,63.57
0.5885,63.57
0.6408,63.67
0.6935,63.67
0.7445,63.38
0.7959,63.38
0.8471,63.35
0.9014,63.35
0.9570,63.50
1.0087,63.50
1.0601,63.34
1.1172,63.34
1.1708,63.50
1.2263,63.50
1.2781,63.64
1.3308,63.99
1.3824,63.99
1.4340,63.81
1.4857,63.81
1.5373,63.50
1.5884,63.50
1.6394,63.60
1.6909,63.60
1.7471,63.31
1.8038,63.31
1.8709,63.83
1.9351,63.42
1.9968,63.42
2.0529,63.59
2.1106,63.59
2.1620,63.89
2.2141,63.89
2.2699,63.66
2.3234,63.66
2.3765,63.89
2.4328,63.89
2.4903,63.72
2.5420,63.54
2.5946,63.54
2.6472,63.50
2.7028,63.50
2.7594,63.87
2.8136,63.87
2.8724,63.58
2.9259,63.58
2.9801,63.62
3.0323,63.62
3.0861,63.59
3.1420,63.94
3.2090,63.94
3.2701,63.69
3.3266,63.69
3.3802,63.47
3.4316,63.47
3.4835,63.38
3.5354,63.38
3.5985,63.58
3.6546,63.56
3.7181,63.56
3.7752,63.43
3.8368,63.43
3.8980,63.46
3.9599,63.57
4.0222,63.57
4.0833,63.57
4.1395,63.60
4.1980,63.60
4.2515,63.43
4.3048,63.43
4.3620,63.70
4.4207,63.70
4.4793,63.51
4.5362,63.51
4.5890,63.72
4.6442,63.50
4.6962,63.50
4.7471,63.58
4.7985,63.58
4.8497,63.77
4.9008,63.77
4.9524,63.60
5.0043,63.60
5.0560,63.38
5.1073,63.38
5.1645,63.48
5.2162,63.48
5.2686,63.69
5.3226,63.69
5.3788,63.36
5.4366,63.36
5.5400,63.41
5.5955,63.49
5.6578,63.56
5.7171,63.56
5.7760,63.52
5.8364,63.52
5.8991,63.70
5.9553,63.65
6.0165,63.65
6.0777,63.66
6.1389,63.66
6.2001,63.67
6.2599,63.68
6.3159,63.68
6.3746,63.98
6.4255,63.98
6.4816,63.90
6.5376,63.90
6.5904,63.77
6.6447,63.77
6.7007,63.83
6.7515,63.60
6.8024,63.60
6.8541,63.33
6.9080,63.33
6.9614,63.17
7.0203,63.17
7.0765,63.58
7.1315,63.58
7.1893,63.51
7.2483,63.46
7.2991,63.46
7.3500,63.28
7.4072,63.28
7.4582,63.31
7.5092,63.31
7.5659,63.54
7.6172,63.54
7.6702,63.48
7.7258,63.48
7.7778,63.29
7.8293,63.29
7.8861,63.26
7.9506,63.78
8.0017,63.78
8.0530,63.48
8.1057,63.48
8.1568,63.57
8.2094,63.57
8.2606,63.61
8.3123,63.61
8.3634,63.47
8.4242,63.47
8.4756,63.88
8.5275,63.88
8.5784,63.77
8.6423,63.77
8.6934,63.54
8.7448,63.54
8.7966,63.52
8.8482,63.52
8.8993,63.66
8.9504,63.66
9.0025,64.01
9.0586,63.55
9.1121,63.55
9.1633,63.60
9.2144,63.60
9.2684,63.65
9.3199,63.65
9.3717,63.68
9.4230,63.68
9.4745,64.02
9.5263,64.02
9.5806,63.52
9.6320,63.52
9.6843,63.64
9.7379,63.64
9.7916,63.64
9.8452,63.64
9.8989,63.49
9.9625,63.56
10.0194,63.56
10.0739,63.65
10.1254,63.65
10.1770,63.74
10.2287,63.74
10.2810,63.98
10.3328,63.98
10.3846,63.77
10.4358,63.77
10.4887,63.69
10.5427,63.69
10.5946,63.77
10.6459,63.77
10.6976,64.02
10.7515,64.02
10.8028,63.59
10.8543,63.59
10.9070,63.73
10.9600,63.73
11.0155,63.73
11.0676,63.83
11.1210,63.83
11.1736,63.85
11.2267,63.85
11.2791,63.72
11.3300,63.72
11.3810,63.47
11.4320,63.47
11.4829,63.31
11.5340,63.31
11.5850,63.46
11.6648,63.89
11.7342,63.89
11.7919,63.68
11.8485,63.68
11.9000,63.69
11.9516,63.69
12.0047,63.62
12.0579,63.62
12.1098,63.61
12.1609,63.61
12.2128,63.74
12.2641,63.77
12.3151,63.77
12.3669,63.50
12.4191,63.50
12.4703,63.64
12.5215,63.64
12.5745,63.55
12.6258,63.55
12.6773,63.47
12.7286,63.47
12.7803,63.40
12.8319,63.40
12.8835,64.03
12.9346,64.03
13.0189,63.88
13.1346,63.69
13.2011,63.40
13.2622,63.40
13.3234,63.34
13.3824,63.24
13.4379,63.24
13.4943,63.17
13.5508,63.17
13.6106,63.44
13.6687,63.50
13.7245,63.50
13.7778,63.34
13.8305,63.34
13.8815,63.93
13.9334,63.93
13.9949,63.65
14.0467,63.65
14.0983,63.48
14.1544,63.48
14.2070,63.48
14.2683,63.33
14.3265,63.33
14.3902,63.48
14.4438,63.48
14.5000,63.57
14.5569,63.57
14.6193,63.51
14.6805,63.53
14.7417,63.53
14.8028,63.45
14.8639,63.45
14.9251,63.57
14.9862,63.34
15.0472,63.34
15.1082,63.63
15.1694,63.63
15.2305,63.63
15.2868,63.80
15.3429,63.80
15.3990,63.80
15.4551,63.80
15.5161,63.63
15.5786,63.43
15.6347,63.43
15.6909,63.61
15.7526,63.61
15.8138,63.90
15.8750,63.50
15.9310,63.50
15.9871,63.52
16.0432,63.52
16.1045,63.21
16.1659,63.21
16.2272,63.52
16.2884,63.37
16.3476,63.37
16.4039,65.50
16.4563,65.50
16.5122,63.29
16.5649,63.29
16.6164,63.58
16.6729,63.58
16.7280,63.19
16.7813,63.30
16.8344,63.30
16.8879,63.30
16.9418,63.30
16.9949,63.47
17.0559,63.47
17.1117,63.59
17.1727,63.59
17.2239,63.74
17.2775,63.49
17.3298,63.49
17.3818,63.60
17.4362,63.60
17.4964,63.78
17.5577,63.78
17.6089,63.75
17.6610,63.75
17.7123,63.67
17.7653,63.67
17.8190,63.66
17.8752,63.66
17.9367,63.69
17.9920,63.36
18.0517,63.36
18.1130,63.80
18.1744,63.80
18.2357,63.85
18.9527,63.66
19.0399,63.87
19.1009,63.68
19.1620,63.68
19.2231,63.41
19.2842,63.51
19.3453,63.51
19.4020,63.62
19.4533,63.62
19.5049,64.25
19.5661,64.25
19.6179,63.69
19.6691,63.69
19.7268,63.60
19.7863,63.60
19.8376,63.60
19.8892,63.65
19.9402,63.65
19.9955,64.05
20.0565,64.05
20.1140,64.07
