cell_id,model_variant,precision_mode,variant_name,status,compile,amp,int8,nhwc,preprocess_gpu,compile_voxelizer,memory_opt_scatter,memory_opt_conv2d,skip_reason
M0_FP32,M0,FP32,M0_FP32,runnable,false,false,false,false,false,false,false,false,
M0_AMP,M0,AMP,M0_AMP,runnable,false,true,false,false,false,false,false,false,
M1_FP32,M1,FP32,M1_FP32,runnable,true,false,false,false,false,false,false,false,
M1_AMP,M1,AMP,M1_AMP,runnable,true,true,false,false,false,false,false,false,
M2_FP32_mem_scatter,M2,FP32,M2_FP32_mem_scatter,runnable,false,false,false,true,false,false,true,false,
M2_FP32_mem_conv2d,M2,FP32,M2_FP32_mem_conv2d,runnable,false,false,false,true,false,false,false,true,
M2_FP32_mem_both,M2,FP32,M2_FP32_mem_both,runnable,false,false,false,true,false,false,true,true,
M2_AMP_mem_scatter,M2,AMP,M2_AMP_mem_scatter,runnable,false,true,false,true,false,false,true,false,
M2_AMP_mem_conv2d,M2,AMP,M2_AMP_mem_conv2d,runnable,false,true,false,true,false,false,false,true,
M2_AMP_mem_both,M2,AMP,M2_AMP_mem_both,runnable,false,true,false,true,false,false,true,true,
M3_FP32,M3,FP32,M3_FP32,runnable,false,false,false,false,true,false,false,false,
M3_AMP,M3,AMP,M3_AMP,runnable,false,true,false,false,true,false,false,false,
M4_FP32,M4,FP32,M4_FP32,runnable,true,false,false,true,true,true,true,true,
M4_AMP,M4,AMP,M4_AMP,runnable,false,true,false,true,true,true,true,true,
